,STATION
0,59 ST
1,5 AV/59 ST
2,57 ST-7 AV
3,49 ST
4,TIMES SQ-42 ST
5,34 ST-HERALD SQ
6,28 ST
7,23 ST
8,14 ST-UNION SQ
9,8 ST-NYU
10,PRINCE ST
11,CANAL ST
12,CITY HALL
13,CORTLANDT ST
14,RECTOR ST
15,WHITEHALL S-FRY
16,DELANCEY/ESSEX
17,BOWERY
18,CHAMBERS ST
19,FULTON ST
20,BROAD ST
21,7 AV
22,PARK PLACE
23,BOTANIC GARDEN
24,PROSPECT PARK
25,PARKSIDE AV
26,CHURCH AV
27,BEVERLEY ROAD
28,CORTELYOU RD
29,NEWKIRK PLAZA
30,AVENUE H
31,AVENUE J
32,AVENUE M
33,KINGS HWY
34,AVENUE U
35,NECK RD
36,SHEEPSHEAD BAY
37,BRIGHTON BEACH
38,OCEAN PKWY
39,BOROUGH HALL
40,JAY ST-METROTEC
41,DEKALB AV
42,ATL AV-BARCLAY
43,UNION ST
44,4AV-9 ST
45,PROSPECT AV
46,25 ST
47,36 ST
48,45 ST
49,53 ST
50,BAY RIDGE AV
51,77 ST
52,86 ST
53,BAY RIDGE-95 ST
54,8 AV
55,FT HAMILTON PKY
56,NEW UTRECHT AV
57,18 AV
58,20 AV
59,BAY PKWY
60,9 AV
61,50 ST
62,55 ST
63,71 ST
64,79 ST
65,25 AV
66,BAY 50 ST
67,CONEY IS-STILLW
68,W 8 ST-AQUARIUM
69,6 AV
70,3 AV
71,1 AV
72,BEDFORD AV
73,LORIMER ST
74,GRAHAM AV
75,GRAND ST
76,MONTROSE AV
77,MORGAN AV
78,JEFFERSON ST
79,MYRTLE-WYCKOFF
80,HALSEY ST
81,WILSON AV
82,BUSHWICK AV
83,ATLANTIC AV
84,SUTTER AV
85,LIVONIA AV
86,NEW LOTS
87,EAST 105 ST
88,CANARSIE-ROCKAW
89,HOWARD BCH JFK
90,JFK JAMAICA CT1
91,MARCY AV
92,HEWES ST
93,FLUSHING AV
94,MYRTLE AV
95,KOSCIUSZKO ST
96,GATES AV
97,CHAUNCEY ST
98,ALABAMA AV
99,VAN SICLEN AV
100,CLEVELAND ST
101,NORWOOD AV
102,CRESCENT ST
103,CYPRESS HILLS
104,75 ST-ELDERTS
105,85 ST-FOREST PK
106,WOODHAVEN BLVD
107,104 ST
108,111 ST
109,121 ST
110,CENTRAL AV
111,KNICKERBOCKER
112,SENECA AVE
113,FOREST AVE
114,FRESH POND RD
115,METROPOLITAN AV
116,INWOOD-207 ST
117,DYCKMAN ST
118,190 ST
119,181 ST
120,175 ST
121,168 ST
122,163 ST-AMSTERDM
123,155 ST
124,145 ST
125,135 ST
126,125 ST
127,116 ST
128,CATHEDRAL PKWY
129,103 ST
130,96 ST
131,81 ST-MUSEUM
132,72 ST
133,59 ST COLUMBUS
134,42 ST-PORT AUTH
135,34 ST-PENN STA
136,14 ST
137,W 4 ST-WASH SQ
138,SPRING ST
139,WORLD TRADE CTR
140,HIGH ST
141,HOYT-SCHER
142,LAFAYETTE AV
143,CLINTON-WASH AV
144,FRANKLIN AV
145,NOSTRAND AV
146,KINGSTON-THROOP
147,UTICA AV
148,RALPH AV
149,ROCKAWAY AV
150,BROADWAY JCT
151,LIBERTY AV
152,VAN SICLEN AVE
153,SHEPHERD AV
154,EUCLID AV
155,GRANT AV
156,80 ST
157,88 ST
158,ROCKAWAY BLVD
159,OZONE PK LEFFRT
160,AQUEDUCT N.COND
161,AQUEDUCT RACETR
162,BROAD CHANNEL
163,BEACH 90 ST
164,BEACH 98 ST
165,BEACH 105 ST
166,ROCKAWAY PARK B
167,BEACH 67 ST
168,BEACH 60 ST
169,BEACH 44 ST
170,BEACH 36 ST
171,BEACH 25 ST
172,FAR ROCKAWAY
173,161/YANKEE STAD
174,167 ST
175,170 ST
176,174-175 STS
177,TREMONT AV
178,182-183 STS
179,FORDHAM RD
180,KINGSBRIDGE RD
181,BEDFORD PK BLVD
182,NORWOOD 205 ST
183,5 AV/53 ST
184,LEXINGTON AV/53
185,COURT SQ-23 ST
186,QUEENS PLAZA
187,STEINWAY ST
188,46 ST
189,NORTHERN BLVD
190,65 ST
191,JKSN HT-ROOSVLT
192,ELMHURST AV
193,GRAND-NEWTOWN
194,63 DR-REGO PARK
195,67 AV
196,FOREST HILLS 71
197,75 AV
198,KEW GARDENS
199,BRIARWOOD
200,SUTPHIN BLVD
201,PARSONS BLVD
202,169 ST
203,JAMAICA 179 ST
204,COURT SQ
205,21 ST
206,GREENPOINT AV
207,NASSAU AV
208,BROADWAY
209,MYRTLE-WILLOUGH
210,BEDFORD-NOSTRAN
211,CLASSON AV
212,47-50 STS ROCK
213,42 ST-BRYANT PK
214,B'WAY-LAFAYETTE
215,2 AV
216,EAST BROADWAY
217,YORK ST
218,BERGEN ST
219,CARROLL ST
220,SMITH-9 ST
221,4 AV-9 ST
222,15 ST-PROSPECT
223,DITMAS AV
224,AVENUE I
225,AVENUE N
226,AVENUE P
227,AVENUE X
228,NEPTUNE AV
229,57 ST
230,LEXINGTON AV/63
231,ROOSEVELT ISLND
232,21 ST-QNSBRIDGE
233,JAMAICA VAN WK
234,SUTPHIN-ARCHER
235,JAMAICA CENTER
236,72 ST-2 AVE
237,86 ST-2 AVE
238,96 ST-2 AVE
239,ORCHARD BEACH
240,NEWARK HW BMEBE
241,HARRISON
242,JOURNAL SQUARE
243,GROVE STREET
244,EXCHANGE PLACE
245,PAVONIA/NEWPORT
246,CITY / BUS
247,CHRISTOPHER ST
248,9TH STREET
249,14TH STREET
250,TWENTY THIRD ST
251,THIRTY ST
252,LACKAWANNA
253,THIRTY THIRD ST
254,NEWARK BM BW
255,NEWARK C
256,NEWARK HM HE
257,PATH WTC 2
258,PATH NEW WTC
259,SOUTH FERRY
260,WTC-CORTLANDT
261,WALL ST
262,FRANKLIN ST
263,HOUSTON ST
264,18 ST
265,66 ST-LINCOLN
266,116 ST-COLUMBIA
267,137 ST CITY COL
268,157 ST
269,191 ST
270,207 ST
271,215 ST
272,MARBLE HILL-225
273,231 ST
274,238 ST
275,V.CORTLANDT PK
276,BOWLING GREEN
277,BROOKLYN BRIDGE
278,BLEECKER ST
279,ASTOR PL
280,33 ST
281,GRD CNTRL-42 ST
282,51 ST
283,68ST-HUNTER CO
284,110 ST
285,138/GRAND CONC
286,149/GRAND CONC
287,MT EDEN AV
288,176 ST
289,BURNSIDE AV
290,183 ST
291,MOSHOLU PKWY
292,WOODLAWN
293,CENTRAL PK N110
294,HARLEM 148 ST
295,3 AV-149 ST
296,JACKSON AV
297,INTERVALE AV
298,SIMPSON ST
299,FREEMAN ST
300,174 ST
301,WEST FARMS SQ
302,E 180 ST
303,BRONX PARK EAST
304,PELHAM PKWY
305,ALLERTON AV
306,BURKE AV
307,GUN HILL RD
308,219 ST
309,225 ST
310,233 ST
311,NEREID AV
312,WAKEFIELD/241
313,3 AV 138 ST
314,BROOK AV
315,CYPRESS AV
316,E 143/ST MARY'S
317,E 149 ST
318,LONGWOOD AV
319,HUNTS POINT AV
320,WHITLOCK AV
321,ELDER AV
322,MORISN AV/SNDVW
323,ST LAWRENCE AV
324,PARKCHESTER
325,CASTLE HILL AV
326,ZEREGA AV
327,WESTCHESTER SQ
328,MIDDLETOWN RD
329,BUHRE AV
330,PELHAM BAY PARK
331,5 AVE
332,VERNON-JACKSON
333,HUNTERS PT AV
334,QUEENSBORO PLZ
335,39 AV
336,36 AV
337,30 AV
338,ASTORIA BLVD
339,ASTORIA DITMARS
340,33 ST-RAWSON ST
341,40 ST LOWERY ST
342,46 ST BLISS ST
343,52 ST
344,61 ST WOODSIDE
345,69 ST
346,74 ST-BROADWAY
347,82 ST-JACKSON H
348,90 ST-ELMHURST
349,JUNCTION BLVD
350,103 ST-CORONA
351,METS-WILLETS PT
352,FLUSHING-MAIN
353,34 ST-HUDSON YD
354,CLARK ST
355,HOYT ST
356,NEVINS ST
357,GRAND ARMY PLAZ
358,EASTN PKWY-MUSM
359,KINGSTON AV
360,CROWN HTS-UTICA
361,SUTTER AV-RUTLD
362,SARATOGA AV
363,JUNIUS ST
364,PENNSYLVANIA AV
365,NEW LOTS AV
366,PRESIDENT ST
367,STERLING ST
368,WINTHROP ST
369,BEVERLY RD
370,NEWKIRK AV
371,FLATBUSH AV-B.C
372,MORRIS PARK
373,BAYCHESTER AV
374,EASTCHSTER/DYRE
375,ST. GEORGE
376,TOMPKINSVILLE
377,RIT-MANHATTAN
378,RIT-ROOSEVELT
