STATION,ZIP,BOROUGH,the_geom
KINGSTON-THROOP,11216,Brooklyn,POINT (-73.94085899871263 40.67991899941601)
METS-WILLETS PT,11368,Queens,POINT (-73.8456249984179 40.75462199881262)
FLUSHING-MAIN,11354,Queens,POINT (-73.83003000262508 40.75959999915012)
BROOKLYN BRIDGE,10007,Manhattan,POINT (-74.0041310005885 40.713064999433136)
MORISN AV/SNDVW,10472,Bronx,POINT (-73.87451599929486 40.82952100156747)
FAR ROCKAWAY,11691,Queens,POINT (-73.75540499924732 40.603995001687544)
JAMAICA VAN WK,11418,Queens,POINT (-73.81701287135405 40.70289855287313)
KEW GARDENS,11415,Queens,POINT (-73.8303702709878 40.714034819571026)
SUTPHIN-ARCHER,11435,Queens,POINT (-73.80800471963833 40.700382424235)
GRAND-NEWTOWN,11373,Queens,POINT (-73.87722085669182 40.736813418197144)
HUNTERS PT AV,11101,Queens,POINT (-73.9489160009391 40.74221599986316)
VERNON-JACKSON,11101,Queens,POINT (-73.95358099875249 40.74262599969749)
BEDFORD-NOSTRAN,11205,Brooklyn,POINT (-73.95352200064022 40.68962700158444)
GRAND ARMY PLAZ,11217,Brooklyn,POINT (-73.9709563319228 40.6752946951032)
ATL AV-BARCLAY,11217,Brooklyn,POINT (-73.97880999956767 40.683665667279435)
AQUEDUCT RACETR,11420,Queens,POINT (-73.83591899965162 40.672096999172844)
EASTN PKWY-MUSM,11238,Brooklyn,POINT (-73.96422203748425 40.67203223545925)
FLATBUSH AV-B.C,11210,Brooklyn,POINT (-73.94754120734406 40.63284240700742)
CROWN HTS-UTICA,11213,Brooklyn,POINT (-73.93293256081851 40.66897831107809)
CHRISTOPHER ST,10014,Manhattan,POINT (-74.00290599855235 40.73342200104225)
OZONE PK LEFFRT,11419,Queens,POINT (-73.82579799906613 40.68595099878361)
WESTCHESTER SQ,10461,Bronx,POINT (-73.84295199925012 40.839892001013915)
CANARSIE-ROCKAW,11236,Brooklyn,POINT (-73.90185000017287 40.64665366739528)
SUTTER AV-RUTLD,11212,Brooklyn,POINT (-73.92252118536001 40.66476678877493)
MYRTLE-WYCKOFF,11237,Brooklyn,POINT (-73.91217899939602 40.69945400090837)
HOWARD BCH JFK,11414,Queens,POINT (-73.83030100071032 40.66047600004959)
AQUEDUCT N.COND,11417,Queens,POINT (-73.83405799948723 40.668234001699815)
BRIARWOOD,11435,Queens,POINT (-73.82069263637443 40.70916181536946)
ASTORIA DITMARS,11105,Queens,POINT (-73.9120340001031 40.775035666523664)
BEDFORD PK BLVD,10458,Bronx,POINT (-73.89006400069478 40.87341199980121)
WEST FARMS SQ,10460,Bronx,POINT (-73.87996127877184 40.84020763241799)
EASTCHSTER/DYRE,10466,Bronx,POINT (-73.8308340021742 40.88829999901007)
BUSHWICK AV,11207,Brooklyn,POINT (-73.90526176305106 40.68286062551184)
KNICKERBOCKER,10002,Manhattan,POINT (-73.91972000188625 40.69866000123805)
QUEENS PLAZA,11101,Queens,POINT (-73.93713823965695 40.74891771986323)
AVNUE U,11229,Brooklyn,POINT (-73.97908400099428 40.597235999920436)
AVNUE X,11223,Brooklyn,POINT (-73.97426599968905 40.589449666625285)
AVNUE P,11230,Brooklyn,POINT (-73.97300281528751 40.608842808949916)
AVNUE N,11230,Brooklyn,POINT (-73.97404850873143 40.61435671190883)
AVNUE M,11230,Brooklyn,POINT (-73.9592431052215 40.617397744443736)
BAY PKWY,11214,Brooklyn,POINT (-73.98178001069293 40.61145578989005)
AVNUE I,11230,Brooklyn,POINT (-73.97606933170925 40.62501744019143)
AVNUE J,11230,Brooklyn,POINT (-73.96069316246925 40.625022819915166)
AVNUE H,11230,Brooklyn,POINT (-73.96151793942495 40.62920837758969)
RIT-ROOSEVELT,10016,Manhattan,POINT (-73.95323499978866 40.75917199967108)
MYRTLE-WILLOUGH,11206,Brooklyn,POINT (-73.94906699890156 40.69461899903765)
DELANCEY/ESSEX,10002,Manhattan,POINT (-73.98807806807719 40.71868074219453)
JAY ST-METROTEC,11201,Brooklyn,POINT (-73.98605667854612 40.69225539645323)
BROADWAY JCT,10533,,POINT (-73.90531600055341 40.67833366608023)
FT HAMILTON PKY,11219,Brooklyn,POINT (-73.9942022375285 40.640912711444656)
PARK PLACE,10007,Manhattan,POINT (-74.00881099997359 40.713050999077694)
WORLD TRADE CTR,10007,Manhattan,POINT (-74.00974461517701 40.71256392680817)
WHITEHALL S-FRY,10004,Manhattan,POINT (-74.0130072374272 40.703142373599135)
CLINTON-WASH AV,11205,Brooklyn,POINT (-73.96583799857275 40.68326299912644)
CONEY IS-STILLW,11224,Brooklyn,POINT (-73.9812359981396 40.57728100006751)
182-183 STS,10457,Bronx,POINT (-73.90074099998965 40.85609299881864)
174-175 STS,10457,Bronx,POINT (-73.91013600050078 40.84589999983414)
3 AV 138 ST,10454,Bronx,POINT (-73.92613800014134 40.81047600117261)
NEREID AV,10466,Bronx,POINT (-73.8543153107622 40.898286515575286)
61 ST WOODSIDE,11377,Queens,POINT (-73.90298400173006 40.745630001138395)
W 4 ST-WASH SQ,10012,Manhattan,POINT (-74.00030814755975 40.732254493367876)
66 ST-LINCOLN,10023,Manhattan,POINT (-73.98220899995783 40.77344000052039)
68ST-HUNTER CO,10021,Manhattan,POINT (-73.96387000158042 40.76814100049679)
15 ST-PROSPECT,11215,Brooklyn,POINT (-73.97973580592873 40.66003568810021)
138/GRAND CONC,10451,Bronx,POINT (-73.92984899935611 40.81322399958908)
5 AV/53 ST,10022,Manhattan,POINT (-73.9752485052734 40.76008683231326)
LEXINGTON AV/53,10022,Manhattan,POINT (-73.96907237490204 40.75746830782865)
CENTRAL PK N110,10026,Manhattan,POINT (-73.95182200176913 40.79907499977324)
81 ST-MUSEUM,10024,Manhattan,POINT (-73.97209794937208 40.78134608418206)
CATHEDRAL PKWY,10025,Manhattan,POINT (-73.9668470005456 40.80396699961484)
116 ST-COLUMBIA,10027,Manhattan,POINT (-73.96410999757751 40.807722001230864)
137 ST CITY COL,10031,Manhattan,POINT (-73.95367600087873 40.82200799968475)
ROCKAWAY PARK B,11694,Queens,POINT (-73.83559008701239 40.580955865573515)
103 ST-CORONA,11368,Queens,POINT (-73.86269999830412 40.749865000555545)
W 8 ST-AQUARIUM,11224,Brooklyn,POINT (-73.97595787413822 40.576033818103646)
GRD CNTRL-42 ST,10018,Manhattan,POINT (-73.97604100111508 40.751431000286864)
85 ST-FOREST PK,11421,Queens,POINT (-73.86008700006875 40.69242699966103)
EAST 105 ST,11236,Brooklyn,POINT (-73.89954769388724 40.65046878544699)
75 ST-ELDERTS,11421,Queens,POINT (-73.86728799944963 40.691290001246735)
82 ST-JACKSON H,11372,Queens,POINT (-73.88369700071884 40.747658999559135)
90 ST-ELMHURST,11373,Queens,POINT (-73.87661299986985 40.74840800060913)
FOREST HILLS 71,11375,Queens,POINT (-73.84451672012669 40.72159430953587)
E 143/ST MARY'S,10454,Bronx,POINT (-73.90765699936489 40.80871900090143)
HARLEM 148 ST,10039,Manhattan,POINT (-73.93647000005559 40.82388000080457)
MARBLE HILL-225,10034,Manhattan,POINT (-73.90983099923551 40.87456099941789)
WTC-CORTLANDT,,,POINT (-73.89858300049647 40.88924800011476)
NORWOOD 205 ST,10467,Bronx,POINT (-73.87885499918691 40.87481100011182)
JAMAICA 179 ST,11432,Queens,POINT (-73.78381700176453 40.712645666744045)
WAKEFIELD/241,10470,Bronx,POINT (-73.8506199987954 40.903125000541245)
149/GRAND CONC,10451,Bronx,POINT (-73.92672247438611 40.81833014409742)
40 ST LOWERY ST,11104,Queens,POINT (-73.9240159984882 40.74378100149132)
161/YANKEE STAD,10451,Bronx,POINT (-73.92565099775477 40.827904998845845)
21 ST-QNSBRIDGE,11101,Queens,POINT (-73.94193761457447 40.75373927087553)
LEXINGTON AV/63,10065,Manhattan,POINT (-73.96608964413245 40.76461809442373)
59 ST COLUMBUS,10023,Manhattan,POINT (-73.98164872301398 40.768249531776064)
5 AV/59 ST,10019,Manhattan,POINT (-73.97334700047045 40.764510999755284)
42 ST-PORT AUTH,10018,Manhattan,POINT (-73.98973500085859 40.757307998551504)
34 ST-HERALD SQ,11003,,POINT (-73.98777189072918 40.74978939990011)
72 ST-2 AV,,,POINT (-73.98993800003434 40.72340166574911)
SMITH-9 ST,11231,Brooklyn,POINT (-73.99589172790934 40.67364106090412)
2 AV,10003,Manhattan,POINT (-73.99066976901818 40.73476331217923)
163 ST-AMSTERDM,10032,Manhattan,POINT (-73.93989200188344 40.83601299923096)
34 ST-PENN STA,10119,Manhattan,POINT (-73.99339099970578 40.752287000775894)
34 ST-HUDSON YD,10001,Manhattan,POINT (-74.00219709442206 40.75544635961596)
59 ST,10065,Manhattan,POINT (-74.01788099953987 40.6413616662838)
49 ST,10020,Manhattan,POINT (-73.98420956591096 40.759801973870694)
TIMES SQ-42 ST,10018,Manhattan,POINT (-73.98749500051885 40.75528999995681)
28 ST,10001,Manhattan,POINT (-73.98426400110407 40.743069999259035)
23 ST,10010,Manhattan,POINT (-73.99804100117201 40.74590599939995)
8 ST-NYU,10003,Manhattan,POINT (-73.99250799849149 40.73046499853991)
PRINCE ST,10012,Manhattan,POINT (-73.99770200045987 40.72432866597571)
CANAL ST,10013,Manhattan,POINT (-74.00105471306033 40.718814263587134)
CITY HALL,10007,Manhattan,POINT (-74.00698581780337 40.71327233111697)
CORTLANDT ST,10007,Manhattan,POINT (-74.01113196473266 40.7105129841524)
RECTOR ST,10006,Manhattan,POINT (-74.01378300119742 40.707512999521775)
BOWERY,10002,Manhattan,POINT (-73.99380690654237 40.720246883147254)
CHAMBERS ST,10013,Manhattan,POINT (-74.00340673031336 40.71323378962671)
FULTON ST,10038,Manhattan,POINT (-74.00950899856461 40.710367998822136)
BROAD ST,10005,Manhattan,POINT (-74.01105599991755 40.706476001106005)
7 AV,10019,Manhattan,POINT (-73.98169782344476 40.76297015245628)
BOTANIC GARDEN,11225,Brooklyn,POINT (-73.95924499945693 40.670342666584396)
PROSPECT PARK,11238,Brooklyn,POINT (-73.96203130426609 40.6616334551018)
PARKSIDE AV,11226,Brooklyn,POINT (-73.96145343987648 40.65507304163716)
CHURCH AV,11218,Brooklyn,POINT (-73.94945514035334 40.6508606878022)
CORTELYOU RD,11226,Brooklyn,POINT (-73.96379005505493 40.6409401651401)
KINGS HWY,11229,Brooklyn,POINT (-73.98037300229343 40.60405899980493)
NECK RD,11229,Brooklyn,POINT (-73.95507827493762 40.59532169111695)
SHEEPSHEAD BAY,11235,Brooklyn,POINT (-73.95405791257907 40.58654754707536)
BRIGHTON BEACH,11235,Brooklyn,POINT (-73.96135378598797 40.577710196642435)
OCEAN PKWY,11235,Brooklyn,POINT (-73.96850099975177 40.57631166708091)
BOROUGH HALL,11201,Brooklyn,POINT (-73.98999799960687 40.693218999611084)
DEKALB AV,11201,Brooklyn,POINT (-73.98177094440949 40.690648119969794)
UNION ST,11215,Brooklyn,POINT (-73.98310999909673 40.67731566735096)
PROSPECT AV,10455,Bronx,POINT (-73.99287200067424 40.66541366712979)
25 ST,11232,Brooklyn,POINT (-73.99809099974297 40.66039666692321)
36 ST,11232,Brooklyn,POINT (-74.00354899951809 40.65514366633887)
45 ST,11220,Brooklyn,POINT (-74.01000600074939 40.648938666612814)
53 ST,11220,Brooklyn,POINT (-74.01403399986317 40.64506866735981)
BAY RIDGE AV,11220,Brooklyn,POINT (-74.02337699950728 40.63496666682377)
77 ST,10075,Manhattan,POINT (-74.0255099996266 40.629741666886915)
86 ST,10028,Manhattan,POINT (-73.95177090964917 40.77786104333163)
BAY RIDGE-95 ST,,,POINT (-74.03087600085765 40.61662166725951)
8 AV,10309,Staten,POINT (-74.00257800104762 40.73977666638199)
NEW UTRECHT AV,11219,Brooklyn,POINT (-73.99635300025969 40.62484166725887)
18 AV,11204,Brooklyn,POINT (-74.00159259239406 40.60773573171741)
20 AV,10309,Staten,POINT (-73.99817432157568 40.60467699816932)
9 AV,10309,Staten,POINT (-73.99444874451204 40.64648407726636)
50 ST,10019,Manhattan,POINT (-73.98598400026407 40.76245599925997)
55 ST,11219,Brooklyn,POINT (-73.99534882595742 40.63147876093745)
71 ST,11228,Brooklyn,POINT (-73.99884094850685 40.61925870977273)
79 ST,10024,Manhattan,POINT (-74.00058287431507 40.61315892569516)
25 AV,11214,Brooklyn,POINT (-73.98682900011477 40.59770366695856)
BAY 50 ST,11214,Brooklyn,POINT (-73.98376500045946 40.58884066651933)
6 AV,10011,Manhattan,POINT (-73.99775078874781 40.73774146981052)
3 AV,10003,Manhattan,POINT (-73.98575000112093 40.73269099971662)
1 AV,10009,Manhattan,POINT (-73.98168087489128 40.73097497580066)
BEDFORD AV,11211,Brooklyn,POINT (-73.95666499806525 40.71717399858899)
LORIMER ST,11211,Brooklyn,POINT (-73.95024799996972 40.71407200064717)
GRAHAM AV,11211,Brooklyn,POINT (-73.94394399869037 40.714575998363635)
GRAND ST,10002,Manhattan,POINT (-73.99375299913589 40.71826699954992)
MONTROSE AV,11206,Brooklyn,POINT (-73.93979284713505 40.70739106438455)
MORGAN AV,11237,Brooklyn,POINT (-73.93314700024209 40.70615166680729)
JEFFERSON ST,11237,Brooklyn,POINT (-73.9229130000312 40.706606665988716)
HALSEY ST,11237,Brooklyn,POINT (-73.90393400118631 40.69551800114878)
WILSON AV,,,POINT (-73.90395860491864 40.68886654246024)
ATLANTIC AV,11207,Brooklyn,POINT (-73.9030969995401 40.67534466640805)
SUTTER AV,11207,Brooklyn,POINT (-73.9019160004208 40.66914500061398)
LIVONIA AV,11212,Brooklyn,POINT (-73.90056237226057 40.66405727094644)
MARCY AV,11211,Brooklyn,POINT (-73.95783200075729 40.708383000017925)
HEWES ST,11211,Brooklyn,POINT (-73.95348800038457 40.706889998054)
FLUSHING AV,11206,Brooklyn,POINT (-73.94137734838365 40.70040440298112)
MYRTLE AV,11206,Brooklyn,POINT (-73.9356230012996 40.6971950005145)
